# Temperature (K),alpha_33
0.729,-10.114402428212166
0.7299,-10.118792966372403
0.7305,-10.10968685272055
0.7311,-10.049668775353062
0.7318,-10.033981689967312
0.7324,-10.021415575482422
0.7332,-9.993920831293373
0.7338,-10.008782033771183
0.7345,-10.000856560043417
0.7352,-9.956744692436438
0.736,-9.91217330831121
0.7366,-9.897938126921751
0.7373,-9.896245448815435
0.738,-9.860822589965764
0.7388,-9.866200923734716
0.7394,-9.85821189776076
0.74,-9.861299217838535
0.7407,-9.829681331650157
0.7413,-9.826413091209801
0.7421,-9.769274302623153
0.7427,-9.728208294273529
0.7434,-9.735173949807091
0.744,-9.71550485220336
0.7449,-9.684562528486126
0.7456,-9.662905885176151
0.7463,-9.652541734093731
0.7469,-9.640716386693434
0.7475,-9.646970487741854
0.7483,-9.633613383046459
0.749,-9.595632005061638
0.7497,-9.592784458236068
0.7503,-9.542055543600554
0.7512,-9.554774593242925
0.7518,-9.493597205537249
0.7525,-9.481475883114683
0.7532,-9.478529409438202
0.754,-9.450390077298628
0.7547,-9.414946674109231
0.7553,-9.382717202443693
0.7559,-9.37661256097708
0.7568,-9.362303240438443
0.7574,-9.32650822415107
0.758,-9.31503973023549
0.7587,-9.30347830832008
0.7596,-9.303358990289098
0.7603,-9.276869567288635
0.7609,-9.253543617452294
0.7616,-9.229513439419236
0.7624,-9.201640718267285
0.7631,-9.169699057663955
0.7638,-9.12503047678566
0.7644,-9.105301989925906
0.7653,-9.114016123218882
0.7659,-9.107235105891107
0.7665,-9.069856252501218
0.7672,-9.044002444578418
0.7681,-9.0190553088636
0.7687,-9.00234822985508
0.7693,-8.99888922235602
0.7699,-8.996904960100167
0.7707,-8.963412155221938
0.7714,-8.928087880549903
0.772,-8.928691383100727
0.7728,-8.902224217767731
0.7736,-8.85014647421076
0.7742,-8.815381632232203
0.7748,-8.824290894248968
0.7754,-8.791422298225058
0.7763,-8.759934863870434
0.777,-8.764719345634965
0.7776,-8.732395877445313
0.7783,-8.741340681023416
0.7791,-8.715263816029768
0.7798,-8.68001436178865
0.7804,-8.672496032501648
0.781,-8.64624444224571
0.7818,-8.631120061009284
0.7825,-8.602095513479625
0.7832,-8.583260187542074
0.7838,-8.524972592877269
0.7847,-8.503935841267513
0.7853,-8.500133420318285
0.786,-8.483512605518477
0.7866,-8.43375953971151
0.7873,-8.390683774315988
0.7881,-8.373014826187948
0.7888,-8.38604756723317
0.7894,-8.312227258463167
0.79,-8.306870626810237
0.7908,-8.291032001911475
0.7915,-8.269192935788197
0.7922,-8.255983846975376
0.7928,-8.240880951231297
0.7937,-8.234113747884201
0.7943,-8.191372556352675
0.795,-8.18229894610058
0.7957,-8.166901584877124
0.7963,-8.143991797657932
0.7972,-8.111071503519803
0.7978,-8.084850285168692
0.7984,-8.015373284505294
0.799,-8.024746915317074
0.7999,-7.981506967421453
0.8006,-7.981148274277835
0.8012,-7.947500678446566
0.8018,-7.904899744879181
0.8027,-7.910835839581665
0.8034,-7.9154542215719275
0.8041,-7.883628116065104
0.8047,-7.861956074768685
0.8056,-7.785582476299446
0.8062,-7.766762802437114
0.8069,-7.712737059541951
0.8076,-7.7272869687527646
0.8084,-7.663888474071079
0.809,-7.67002063616777
0.8096,-7.660779227654828
0.8103,-7.63681411133048
0.8109,-7.590708448767877
0.8117,-7.591726380086229
0.8124,-7.557521724031375
0.813,-7.533655119047978
0.8137,-7.489047944179283
0.8145,-7.456221924193002
0.8151,-7.451175537826238
0.8157,-7.425393188312825
0.8163,-7.43315776195211
0.8172,-7.414960532480684
0.8178,-7.401767411296738
0.8184,-7.360468622782946
0.819,-7.338987790894571
0.8199,-7.259283514596717
0.8205,-7.2647319257890715
0.8212,-7.2334639724764145
0.8218,-7.184974103970838
0.8227,-7.142785429785498
0.8233,-7.09981189767133
0.824,-7.0935383011895325
0.8245,-7.0855388212929995
0.8253,-7.084519995179029
0.826,-7.056410972740501
0.8266,-7.006206248599028
0.8272,-6.974281326266237
0.8281,-6.941992514993771
0.8288,-6.932159756992284
0.8294,-6.90251622295424
0.8301,-6.843606070729329
0.8309,-6.829330558540342
0.8315,-6.765917707906539
0.8321,-6.75319342250976
0.8327,-6.728653599678864
0.8337,-6.73446701635681
0.8344,-6.685923264685798
0.835,-6.6602215095433905
0.8356,-6.611915529459303
0.8365,-6.580272665026243
0.8371,-6.559187644383819
0.8377,-6.5371800184511315
0.8384,-6.499262023019277
0.839,-6.473461850595228
0.8398,-6.452982802975164
0.8404,-6.421773048502288
0.841,-6.386547212336637
0.8417,-6.3328562988215396
0.8425,-6.314809434486222
0.8431,-6.269811465848832
0.8438,-6.228319879011586
0.8444,-6.243640493056645
0.8453,-6.187628593088753
0.846,-6.1399307236875345
0.8466,-6.10903145751481
0.8473,-6.088930600111915
0.8481,-6.065461657049646
0.8487,-5.982706415194052
0.8494,-5.9747849448176
0.85,-5.947957841943975
0.8509,-5.916951594499224
0.8515,-5.88003293056569
0.852,-5.830092071006021
0.8526,-5.800042798355278
0.8535,-5.762346016596659
0.8541,-5.717575883950886
0.8548,-5.697662791664705
0.8555,-5.656064572160318
0.8563,-5.609187038464526
0.8569,-5.555829511274048
0.8576,-5.56681940811518
0.8583,-5.54925577224224
0.8591,-5.455555265034214
0.8598,-5.405104043441263
0.8604,-5.344931431467529
0.8611,-5.299812016354807
0.8619,-5.275872095544415
0.8626,-5.217281550740367
0.8632,-5.175896954051467
0.8639,-5.1659660327285195
0.8648,-5.122144917744706
0.8655,-5.038880223762774
0.8661,-4.989307177758988
0.8667,-4.93176658705201
0.8676,-4.868364106224277
0.8683,-4.841884061925583
0.8689,-4.783611050178237
0.8695,-4.748071631440922
0.8704,-4.712315428433342
0.871,-4.669099221154596
0.8717,-4.6519124764497235
0.8725,-4.627337660710566
0.8731,-4.533086859308341
0.8738,-4.493073409151577
0.8744,-4.463770861910916
0.8753,-4.435603236293005
0.8759,-4.362926929774829
0.8765,-4.341211335342749
0.8772,-4.290167868147449
0.8782,-4.253725481820524
0.8787,-4.198829042735568
0.8793,-4.120710970106089
0.8802,-4.117715389705779
0.8808,-4.068944671158604
0.8814,-3.9926470773928173
0.882,-3.929333312735139
0.8829,-3.9105029366708663
0.8836,-3.847947064025405
0.8842,-3.8288799243749736
0.8851,-3.771889586037844
0.8857,-3.6967452396001477
0.8863,-3.634255289867099
0.8869,-3.6160533541846007
0.8878,-3.5914945653652524
0.8885,-3.518802530214586
0.8891,-3.463754951838183
0.8897,-3.410106545500767
0.8905,-3.3025429743110664
0.8911,-3.2869130394285833
0.8918,-3.2542090999194784
0.8924,-3.210258343490054
0.8933,-3.167621413135876
0.894,-3.0788564629319097
0.8946,-3.0076278982011644
0.8953,-3.0066568216066116
0.8961,-2.9643547851323433
0.8968,-2.858720985145922
0.8973,-2.815492955292683
0.8983,-2.7586952612983424
0.8989,-2.7145896108714993
0.8995,-2.6620262429687926
0.9001,-2.557503826227986
0.901,-2.4929719698724995
0.9017,-2.437501185010575
0.9024,-2.343197125376861
0.903,-2.33359066902284
0.9038,-2.2349283692857114
0.9045,-2.158286051915269
0.9052,-2.092807442852717
0.9058,-2.052381059508349
0.9067,-2.007869055080306
0.9073,-1.9090498733770147
0.908,-1.8444182377811273
0.9086,-1.7870128178317515
0.9095,-1.7124949857315244
0.9101,-1.7010135241119286
0.9107,-1.6223621106810526
0.9113,-1.579426594080644
0.9122,-1.5069732656750574
0.9129,-1.4028053679320749
0.9135,-1.385109436503953
0.9141,-1.332147081625635
0.915,-1.291993478803363
0.9156,-1.238161798080398
0.9163,-1.1576865718545974
0.9169,-1.1071818119713868
0.9177,-1.0316632554755785
0.9183,-0.9780137077703017
0.919,-0.9197414976738258
0.9197,-0.8507033948273488
0.9205,-0.7850272734210506
0.9211,-0.714747527304894
0.9218,-0.7132328809572783
0.9224,-0.6881069180550838
0.9233,-0.658605179468239
0.9239,-0.6119632455851445
0.9246,-0.5348015550996621
0.9252,-0.46506489895615744
0.9261,-0.4544259439588956
0.9267,-0.37028145045101724
0.9273,-0.3729648716055607
0.9279,-0.30952490640454755
0.9288,-0.2781669955650017
0.9295,-0.24048755272950473
0.9301,-0.21986001963639978
0.9307,-0.19054251384064003
0.9315,-0.12593535145946078
0.9322,-0.12882451677545248
0.9329,-0.12956125124466666
0.9336,-0.1099754266973747
0.9344,-0.11169505785487388
0.9351,-0.09474112275297841
0.9357,-0.045806610184840224
0.9363,-0.07791564785861738
0.9372,-0.05898282343495964
0.9378,-0.05688136848509373
0.9384,-0.051202573905840154
0.939,-0.047874290919580176
0.9399,-0.04576798335801868
0.9406,-0.014863919492810851
0.9413,-0.005341891182894187
0.9419,-0.013636055375883416
0.9428,0.04277261345492889
0.9434,0.06258693494639544
0.944,0.045512255536266366
0.9446,0.0013099821483848473
0.9455,0.014425787471012086
0.9461,0.0032088751056420506
0.9468,-0.02769012913583424
0.9474,-0.03381132831280809
0.9483,-0.0417237657760694
0.9489,-0.026239989109910766
0.9495,0.04607865169420222
0.9502,0.03665649129005999
0.9511,0.04728884705035341
0.9517,0.02614536967016079
0.9523,-0.0006543127729798925
0.9529,-0.014724776795816297
0.9537,0.02309165339914898
0.9544,0.02912619339348055
0.955,0.0031971519378259927
0.9556,-0.011526341424385578
0.9565,0.03649276708692639
0.9572,0.043387008406654104
0.9578,0.027199755033805673
0.9584,0.0069578776477357
0.9593,0.009076532251967251
0.96,-0.03023960032159323
0.9606,0.022009463912027627
0.9612,0.033814795386263086
0.9621,-0.008135329321291351
0.9628,-0.011788674148093037
0.9634,-0.020278760412239194
0.9641,-0.006028529798157933
0.965,0.02411070158338191
0.9656,-0.04546658604954246
0.9663,0.035435929028665214
0.9668,-0.03462712801456291
0.9677,-0.006811917407702595
0.9684,0.009600387601878424
0.9689,0.01729480850673326
0.9696,0.015190655692549626
0.9704,0.0007235680563724145
0.971,-0.011695054570637353
0.9716,0.017761133340272295
0.9725,0.012211058960176047
0.9733,-0.0223414663435193
0.9739,-0.059182070624927974
0.9745,-0.03861189802560716
0.9754,-0.040455553705157854
0.976,-0.02402928059920839
0.9766,0.009631155069982356
0.9772,0.04188592593668261
0.9781,0.030769943136064626
0.9788,0.04861045433247568
0.9794,0.01634057426466029
0.98,0.014058812009494659
0.9809,0.00042957223365647224
0.9816,0.022958222548027152
0.9822,0.04219772533389232
0.9828,-0.008106042927877866
0.9836,0.010325643438434895
0.9843,0.012286087180612526
0.9849,0.045542858087543436
0.9857,0.03358059020720816
0.9865,0.01869497863937397
0.9871,0.029863792720917104
0.9878,-0.01142821954010742
0.9884,-0.023757370038396175
0.9893,-0.07022634497188562
0.9898,-0.005373881407180647
0.9905,0.03849170053074147
0.9912,0.042739316509624814
0.9921,0.04939847553328036
0.9927,0.049067679537600384
0.9933,0.049395168190557115
0.9939,0.055560473785376985
0.9948,-0.0005724275166727466
0.9954,-0.01657703136800137
0.9961,-0.024845212426427565
0.9968,0.06297668322692118
0.9976,0.04524440146066411
0.9982,-0.007181986309305444
0.9989,0.02242101038896749
0.9997,0.0
