# Temperature (K)	Attenuation (Neper/m)
0.5819	872.4758845641983
0.5821	871.3703328712841
0.5823	871.7016209144699
0.5828	871.6461478381799
0.583	872.0994384096962
0.5832	871.8129125620379
0.5837	871.622284699761
0.5842	871.2196463195905
0.5844	870.522557716955
0.5848	870.910965719724
0.5851	871.7708166541811
0.5853	871.7328464010827
0.5858	871.5783679884763
0.586	872.3233494971994
0.5862	872.5422940743309
0.5867	872.8145451132116
0.5869	872.6732819992694
0.5872	873.3657551009517
0.5876	873.6110193317842
0.5879	873.4787779921365
0.5884	872.8065877738982
0.5886	872.7170826369859
0.5889	872.6328331447993
0.5893	871.7549084897913
0.5896	872.8346835584872
0.59	872.4903611790164
0.5903	873.3311649314227
0.5905	871.9702561246409
0.591	872.117034656723
0.5912	872.2522173851307
0.5914	872.7949430985351
0.5919	872.2892743238073
0.5922	872.1797720793518
0.5924	872.2590083439335
0.5929	872.6791486667466
0.5931	872.7841596715921
0.5933	873.0442315975677
0.5938	872.3778435386889
0.594	872.6389027893842
0.5943	872.9328473462039
0.5948	873.8449759559593
0.595	873.8025533426069
0.5953	872.3111978592773
0.5958	872.9701009834985
0.5961	872.5520140988612
0.5963	872.4966749906068
0.5968	872.3639254686261
0.597	871.7675087872718
0.5975	871.3284391431476
0.5977	871.0308864126998
0.598	871.6904897498339
0.5984	870.9292852869628
0.5986	870.5185882407009
0.5991	870.9358781745668
0.5994	870.746986455947
0.5997	870.953440730899
0.6002	871.3570990426033
0.6004	869.8283246090773
0.6007	870.2788388948045
0.6012	870.2806722175509
0.6014	870.4440657035944
0.6016	871.167152992304
0.6022	871.0336036729549
0.6024	872.0048263479416
0.6027	871.7548004743707
0.6032	872.1182224009339
0.6034	872.153578137869
0.6037	872.7345355672892
0.6041	872.7644758513561
0.6044	872.9413219743883
0.6046	873.4126797021245
0.6051	873.4264844810253
0.6053	873.174815887588
0.6056	873.2635069559299
0.6061	872.7873045821353
0.6063	872.7564417328255
0.6068	873.5603009798255
0.6071	873.3492780154437
0.6073	873.1586284727148
0.6079	872.7965745059983
0.6081	873.1658595406267
0.6084	873.366412642114
0.6089	872.9905469629872
0.6091	873.5342774730204
0.6096	872.2503448643738
0.6099	871.7677782895855
0.6101	872.06978552417
0.6106	872.1641075293662
0.6108	873.1246818556273
0.6111	872.8708197396405
0.6116	873.642613781137
0.6118	873.1298074344481
0.6121	873.5890968360683
0.6126	873.2207753343604
0.6128	873.9031281853947
0.6131	873.4824540560364
0.6136	872.2290160472164
0.6138	871.0171944149832
0.6141	870.3968637003534
0.6145	870.980441320221
0.6148	871.4585548307988
0.615	871.1917670361717
0.6155	870.8954418549923
0.6158	872.4890474629749
0.616	872.198516927996
0.6165	871.198737831057
0.6167	870.5883675401459
0.617	871.3120963418291
0.6175	871.6234693886981
0.6177	871.9680914817916
0.618	872.8145481827491
0.6185	871.4667757029715
0.6187	871.5101742979555
0.619	872.1292256160316
0.6195	872.2916766899496
0.6197	872.7174933644224
0.62	872.8057386396096
0.6205	871.909147038457
0.6207	872.3781868294201
0.621	872.7387071391523
0.6214	872.9669322881775
0.6217	873.3344796825352
0.6219	873.4579832408913
0.6224	873.0066265032563
0.6226	871.9097024903236
0.6228	871.2356663832485
0.6233	871.3929554011381
0.6236	871.0812079177848
0.6238	871.8176338317955
0.6243	872.6541411790204
0.6246	872.982921453322
0.625	872.0765521384994
0.6253	871.5000751776754
0.6255	872.2962987880554
0.626	871.311737453815
0.6262	871.5655922489108
0.6267	872.7007909103882
0.627	872.7711945234547
0.6272	872.3948943464134
0.6277	872.9318776677893
0.628	873.2291628738883
0.6282	872.1170526411424
0.6287	871.8583443469705
0.629	872.907132969716
0.6292	873.0497141311374
0.6297	872.3348210737904
0.6299	872.1364329386756
0.6301	872.1444857447414
0.6306	872.4290579680343
0.6309	872.9336053793603
0.6311	873.1021581893006
0.6316	871.8499806026725
0.6319	871.1992980620016
0.6321	870.9621619993734
0.6325	871.822536693123
0.6328	872.3209495483735
0.6332	871.4017756361275
0.6335	871.119474689539
0.6339	870.7691330966492
0.6342	871.3139161631701
0.6344	871.1432774469826
0.6349	872.1382963532973
0.6352	873.2801054140158
0.6357	873.3999159402454
0.6359	873.8886397605545
0.6361	873.3238977869399
0.6366	873.205940918172
0.6368	872.7077851453827
0.6371	873.0374626703325
0.6376	873.0449885764019
0.6378	872.5407129885947
0.6381	872.6273184406067
0.6386	872.740765351727
0.6388	872.3534266662111
0.6392	872.9083572835614
0.6395	872.9098679697445
0.6397	872.0130029651235
0.6401	871.9277390746295
0.6404	871.4010648383035
0.6406	871.6003234320516
0.6411	871.088224251784
0.6413	871.165518451451
0.6416	870.7650649063919
0.6421	871.9862356968829
0.6423	872.0866858753194
0.6425	872.7896181617213
0.643	873.275877928276
0.6432	872.9545092242925
0.6435	871.9849755255159
0.644	873.0883888846263
0.6442	873.6014919218895
0.6445	874.2074477411212
0.645	873.4227764573521
0.6452	873.787339141642
0.6454	873.3853836656599
0.6459	872.334722054963
0.6461	872.3240370224652
0.6464	872.2084021856477
0.6468	872.3710615035652
0.6471	872.1965253382679
0.6473	871.4259022014938
0.6478	872.9338801738102
0.6481	873.2182977836437
0.6483	873.2944833161015
0.6488	873.01602792609
0.6491	873.6871350197601
0.6493	872.4848874717359
0.6498	871.625916983259
0.65	872.3866100552999
0.6503	872.215427110888
0.6508	872.1369414332928
0.651	872.2139259264569
0.6512	872.4672789641438
0.6517	872.0368051819535
0.652	873.291828897443
0.6522	871.9773406222236
0.6527	871.8194465986489
0.6529	872.2169987416628
0.6532	872.1480054615816
0.6534	872.3577092134171
0.6539	872.3113835701088
0.6541	872.049549965313
0.6546	871.4964660802997
0.6548	872.0499014972548
0.6553	872.1224761840417
0.6556	872.4563707589513
0.6558	871.8959902743941
0.6563	872.2248624435247
0.6565	871.8362200919773
0.6568	871.7632896941974
0.6573	872.2498125305049
0.6575	872.9229465429312
0.6577	872.4610650572904
0.6582	872.9894986849766
0.6585	873.0889252535885
0.6587	872.6860509713315
0.6592	871.920396797753
0.6594	871.5939990128762
0.6596	872.1184580441366
0.6601	872.6251088502676
0.6603	872.2278401071163
0.6606	872.0638643818278
0.6611	872.050960340961
0.6613	871.9981605524357
0.6618	871.5731764096512
0.662	870.5701302514632
0.6623	871.4749311787978
0.6627	871.7972620607936
0.663	872.0761807644249
0.6632	872.3497944622189
0.6637	871.5656978956033
0.6639	871.6866136295802
0.6642	873.2093396636833
0.6647	873.135086817393
0.6649	872.0466823435711
0.6654	872.1107854942161
0.6656	871.9637586075027
0.6659	873.1684439734008
0.6663	873.1604856499978
0.6666	872.5867890443686
0.667	871.6015849057644
0.6673	871.9652633120891
0.6675	872.0521637107984
0.668	873.3000596553784
0.6682	872.4396103450687
0.6684	872.4654722616592
0.6689	872.4920055074579
0.6691	872.9766949409503
0.6693	872.7575002495847
0.6698	872.9048364427978
0.67	872.7112805601234
0.6705	872.4788080921519
0.6707	872.6583796295324
0.671	872.3619315491903
0.6715	872.521513154829
0.6717	872.8829269640423
0.6721	873.2068247836139
0.6724	873.2618074815364
0.6726	874.1435474472639
0.6731	873.7411200084774
0.6733	872.8928869055674
0.6735	872.5587871829578
0.674	871.3610463953701
0.6742	871.2644196080109
0.6745	871.1239281861983
0.675	871.5958496951183
0.6752	872.1464380711047
0.6754	872.5218245773133
