# Temperature (K),alpha_33
1.9951,-5.894228046000001
1.9965,-5.8845198110500005
1.9982,-5.874783316400001
1.9998,-5.865245235150001
2.0015,-5.855141253850001
2.0035,-5.844258294750001
2.005,-5.833455466850001
2.0064,-5.821733157450001
2.0082,-5.812245355850001
2.0097,-5.800963268200001
2.0116,-5.790295149250001
2.0132,-5.7791459863000005
2.015,-5.768968662200001
2.0165,-5.758182642150001
2.0179,-5.7497484745000005
2.0199,-5.741068574000001
2.0215,-5.733462008250001
2.023,-5.726652048450001
2.0245,-5.718775587150001
2.0248,-5.711498259050001
2.025,-5.706504020600001
2.0256,-5.701246953050001
2.0262,-5.6926493466500006
2.0264,-5.6861992717500005
2.0272,-5.681236222800001
2.028,-5.674555769600001
2.0284,-5.668286740600001
2.0294,-5.663721957800001
2.0296,-5.65865621295
2.0312,-5.653339589400001
2.0318,-5.648108389400001
2.032,-5.644084683800001
2.033,-5.640087433700001
2.0347,-5.635388135800001
2.0353,-5.629069051400001
2.0363,-5.625745927950001
2.0378,-5.619614562250001
2.0396,-5.613701635550001
2.0399,-5.605870180900001
2.0411,-5.601183883950001
2.0413,-5.594098127450001
2.0429,-5.586672953450001
2.044,-5.5827557403500006
2.0445,-5.575238740550001
2.0446,-5.568767666900001
2.0461,-5.565059731650001
2.0475,-5.560242240000001
2.0482,-5.554917756550001
2.0494,-5.5482158762000005
2.0505,-5.544043606150001
2.0507,-5.536362264300001
2.0523,-5.530697214200001
2.0528,-5.524766058450001
2.0539,-5.519126233450001
2.054,-5.513666893500001
2.0555,-5.507532653400001
2.0568,-5.502219444950001
2.0572,-5.497303539000001
2.0584,-5.494750861800001
2.0587,-5.487800856600001
2.0597,-5.481989052300001
2.06,-5.474799184750001
2.0616,-5.470613791550001
2.0623,-5.464888649450001
2.063,-5.460147062900001
2.0635,-5.4550616748500005
2.0645,-5.449686528100001
2.065,-5.443651364350001
2.0658,-5.440082376200001
2.0671,-5.4336932330500005
2.0688,-5.429104558550001
2.0689,-5.424014001000001
2.0699,-5.419570856750001
2.0704,-5.4138312192
2.0714,-5.409133089100001
2.0716,-5.4042961833500005
2.0729,-5.397427535950001
