# Temperature (K),delta_v_33/v_33
1.1195,7.128758960327951e-06
1.1208,5.827127161652719e-06
1.122,7.841797872002349e-06
1.1232,7.279365469241021e-06
1.1248,6.149631023526412e-06
1.126,7.042099594781293e-06
1.1272,6.007481844359861e-06
1.1288,8.677323103116919e-06
1.13,8.419061208772997e-06
1.1312,8.992383635953284e-06
1.1324,8.886458044984804e-06
1.134,7.740104616140787e-06
1.1353,9.234355979841402e-06
1.1365,8.01197658236771e-06
1.1378,7.714313430688617e-06
1.1394,6.5943268767557094e-06
1.1406,5.964210807759906e-06
1.1417,7.641378414516753e-06
1.1429,7.729083290268623e-06
1.1445,7.752568442538215e-06
1.1458,7.947543981679496e-06
1.1471,6.870340066882132e-06
1.1483,5.561293912070879e-06
1.1496,6.245987971623083e-06
1.1511,8.452279054953996e-06
1.1524,8.359293527347047e-06
1.1536,6.462099023945612e-06
1.1549,8.707388344109484e-06
1.1565,8.751276408761884e-06
1.1577,8.105871708664756e-06
1.1589,8.659291358968703e-06
1.1601,7.660896640380939e-06
1.1613,7.790607172798223e-06
1.1629,7.000146100313807e-06
1.1641,8.78160046917835e-06
1.1653,7.547650756804293e-06
1.1669,8.327944765854135e-06
1.1682,7.939220189107351e-06
1.1694,8.437470594883185e-06
1.1706,9.293563539446953e-06
1.1722,8.168228071121065e-06
1.1733,9.199503537317478e-06
1.1746,8.603060646998734e-06
1.1758,1.06207175119625e-05
1.1773,9.261566303109527e-06
1.1785,9.521899150216053e-06
1.1798,8.47358544735551e-06
1.1811,9.226563398402919e-06
1.1826,7.628571755351535e-06
1.1838,7.94363311891526e-06
1.185,7.014580563684147e-06
1.1862,7.804148062177341e-06
1.1879,8.114299811693847e-06
1.1892,6.954403321151421e-06
1.1904,8.556491863276363e-06
1.1919,9.665817961315837e-06
1.1931,8.011165794212765e-06
1.1944,7.820567118158305e-06
1.1957,8.68710969262092e-06
1.1973,8.751131255308785e-06
1.1984,8.240577591692779e-06
1.1995,7.94845207044675e-06
1.2007,6.95377225411695e-06
1.2024,8.004653656502528e-06
1.2036,8.36288726936086e-06
1.2048,9.42651003182671e-06
1.2065,8.495282955770216e-06
1.2076,7.786860364565666e-06
1.2088,9.012821719628526e-06
1.21,6.6768639588384325e-06
1.2113,8.376977140032153e-06
1.2129,6.961583259941582e-06
1.2141,5.749544615323368e-06
1.2153,7.757811493599924e-06
1.2164,7.533155656565515e-06
1.2181,6.908504012850819e-06
1.2193,8.183070614283219e-06
1.2205,7.053161635340856e-06
1.2217,6.652481564107035e-06
