# T (K), alpha_33 (Neper/m)
2.471000000000000085e+00,7.676230234583272249e-01
2.470800000000000107e+00,1.071570843309245902e+00
2.470600000000000129e+00,9.800921936425766035e-01
2.470499999999999918e+00,1.193825627143951351e+00
2.470400000000000151e+00,8.315757997124819667e-01
2.470299999999999940e+00,5.750045136687731429e-01
2.470099999999999962e+00,3.192234714772439474e-01
2.470000000000000195e+00,3.482894918788588257e-01
2.469800000000000217e+00,1.711232012394248159e-01
2.469500000000000028e+00,8.523962383530943043e-01
2.469399999999999817e+00,8.145430220779417141e-01
2.469300000000000050e+00,9.151157279870858474e-01
2.469100000000000072e+00,9.907029072776367684e-01
2.468999999999999861e+00,1.178314051651341288e+00
2.468900000000000095e+00,2.090342947305998678e-01
2.468700000000000117e+00,2.883115201514101500e-01
2.468599999999999905e+00,1.562230134406945581e-01
2.468300000000000161e+00,4.330156340868143161e-01
2.468100000000000183e+00,8.329650522432530124e-02
2.467999999999999972e+00,8.027126989118187339e-01
2.467699999999999783e+00,8.469431740720665402e-01
2.467600000000000016e+00,1.228614226195531955e+00
2.467499999999999805e+00,1.143426041726570475e+00
2.467299999999999827e+00,1.184761651712506136e+00
2.467200000000000060e+00,1.380508534880391380e+00
2.467099999999999849e+00,1.449483862020997549e+00
2.466800000000000104e+00,1.430663137757164804e+00
2.466699999999999893e+00,1.064015945549954267e+00
2.466600000000000126e+00,1.405265469467167350e+00
2.466400000000000148e+00,1.501517054638725313e+00
2.466200000000000170e+00,1.725680283005431193e+00
2.466099999999999959e+00,1.593347751817191238e+00
2.465800000000000214e+00,1.876479867766647658e+00
2.465700000000000003e+00,1.611407362578802349e+00
2.465500000000000025e+00,1.394949040773781235e+00
2.465199999999999836e+00,1.165049398774272049e+00
2.465100000000000069e+00,8.382618435100539500e-01
2.464999999999999858e+00,3.048951998609936709e-01
2.464900000000000091e+00,2.322058783167904039e-01
2.464799999999999880e+00,3.088128609954310377e-01
2.464700000000000113e+00,3.863816816965481848e-01
2.464500000000000135e+00,5.634116916940001829e-01
2.464399999999999924e+00,8.013320324964752217e-01
2.464300000000000157e+00,6.004788485145127197e-01
