# B (T), Viscosity (1e-5 Pa*s)
3.318548916611949728e+00,6.352555768963109861e-02
3.325574523965856510e+00,1.112459434649711865e-01
3.332600131319763292e+00,1.204783653465563986e-01
3.339625738673670075e+00,9.377415003784438097e-02
3.346651346027576857e+00,8.470209760180349989e-02
3.353676953381483639e+00,6.370356206976515723e-02
3.360702560735389977e+00,1.391252239028730429e-02
3.367728168089296759e+00,-2.890609375689603272e-02
3.374753775443203541e+00,-4.027455860921771991e-02
3.381779382797110323e+00,-4.948804041411183907e-02
3.388804990151017105e+00,-1.747125607265112568e-02
3.395830597504923887e+00,9.709212885058240722e-04
3.402856204858830669e+00,-7.701357033632936534e-03
3.409881812212737451e+00,-8.274838501614596720e-03
3.416907419566644233e+00,1.986950579339630263e-02
3.423933026920551015e+00,3.027753694924222722e-02
3.430958634274457797e+00,5.440440920076973497e-02
3.437984241628364579e+00,5.979792649905277258e-02
3.445009848982271361e+00,5.053897574331735892e-02
3.452035456336178143e+00,6.120682203723511877e-02
3.459061063690084925e+00,4.866117319640016203e-02
3.466086671043991707e+00,4.856654195142568603e-02
3.473112278397898489e+00,5.713887022531712045e-02
3.480137885751805271e+00,5.514321692041804918e-02
3.487163493105712053e+00,3.803114527822951119e-02
3.494189100459618835e+00,5.017400511181582812e-02
3.501214707813525617e+00,5.318105799716025400e-02
3.508240315167432399e+00,6.173418924292283644e-02
3.515265922521338737e+00,7.492006274359448714e-02
3.522291529875245519e+00,7.727264997525480628e-02
3.529317137229152301e+00,5.932731641994070521e-02
3.536342744583059083e+00,7.751280770128566103e-03
3.543368351936965865e+00,-1.209081124760449238e-02
3.550393959290872647e+00,1.465405235180818055e-02
3.557419566644779430e+00,-4.433517998353153069e-04
3.564445173998686212e+00,2.092136545090336752e-02
3.571470781352592994e+00,3.718333702181082084e-02
3.578496388706499776e+00,-3.537268469134730031e-02
3.585521996060406558e+00,-3.544030827552938079e-02
3.592547603414313340e+00,-8.615406320510058530e-03
3.599573210768220122e+00,-9.985963075353666493e-03
3.606598818122126904e+00,2.880460445345168000e-02
3.613624425476033686e+00,2.892525479799868890e-02
3.620650032829940468e+00,2.153379603344312415e-03
3.627675640183847250e+00,-6.310409238362336276e-03
3.634701247537754032e+00,-2.103560655207708380e-02
3.641726854891660814e+00,-2.103560655207708380e-02
3.648752462245567596e+00,-2.103560655207708380e-02
3.655778069599474378e+00,2.988178097115175465e-03
3.662803676953381160e+00,2.057347937163284818e-02
3.669829284307287498e+00,5.437703054282132936e-02
3.676854891661194280e+00,9.199757855124998662e-02
3.683880499015101062e+00,7.592054433651460044e-02
3.690906106369007844e+00,5.809150609686709182e-02
3.697931713722914626e+00,2.404421796054880336e-02
3.704957321076821408e+00,1.368018720515444108e-03
3.711982928430728190e+00,-1.379824492082061364e-02
3.719008535784634972e+00,-2.077402116256998540e-02
3.726034143138541754e+00,1.824507147752578787e-02
3.733059750492448536e+00,1.826538739621667157e-02
3.740085357846355318e+00,1.602434504720528716e-02
3.747110965200262100e+00,1.378330269819389581e-02
3.754136572554168882e+00,-3.100767568317063308e-02
3.761162179908075665e+00,-4.853970843721141376e-02
3.768187787261982447e+00,-4.164652094827542977e-02
3.775213394615889229e+00,-3.475333345933945273e-02
3.782239001969796011e+00,-3.130507881989546409e-02
3.789264609323702793e+00,-1.866381093392629684e-02
3.796290216677609575e+00,7.986169866555346136e-03
3.803315824031516357e+00,1.573024899511658858e-02
3.810341431385423139e+00,3.042712689303116863e-02
3.817367038739329921e+00,-2.547632741922829444e-02
3.824392646093236703e+00,-4.961840148430573388e-02
3.831418253447143041e+00,-5.485457387746277280e-02
3.838443860801049823e+00,-6.561111656997428709e-02
3.845469468154956605e+00,-1.840859493828090471e-02
3.852495075508863387e+00,-1.697616646828203554e-02
3.859520682862770169e+00,-1.554373799828316464e-02
3.866546290216676951e+00,-1.554373799828316464e-02
3.873571897570583733e+00,-1.554373799828316464e-02
3.880597504924490515e+00,-9.122699771812592742e-03
3.887623112278397297e+00,3.401785140232466099e-04
3.894648719632304079e+00,-3.331188906492852579e-04
3.901674326986210861e+00,-1.006416295321817126e-03
3.908699934340117643e+00,-8.100751926464918456e-03
3.915725541694024425e+00,-1.823692761697329190e-02
3.922751149047931207e+00,-1.025494089030250765e-02
3.929776756401837989e+00,1.099687147898536967e-03
3.936802363755744771e+00,-9.567649186068970246e-03
3.943827971109651553e+00,-2.023498552003647616e-02
3.950853578463558335e+00,-1.380038086286153841e-02
3.957879185817465117e+00,-1.551237799033652193e-02
3.964904793171371900e+00,-3.576766335552601650e-02
3.971930400525278682e+00,-5.078879845698235085e-02
3.978956007879185464e+00,-5.550505616083078325e-02
3.985981615233091802e+00,-8.322775536482586445e-02
3.993007222586998584e+00,-7.038520195893788189e-02
4.000032829940905366e+00,-4.596611352937336054e-02
4.007058437294812592e+00,-5.693583021522998638e-02
4.014084044648718930e+00,-4.012514492782028042e-02
4.021109652002626156e+00,-1.650845571466433639e-02
4.028135259356532494e+00,1.842225004601432889e-02
4.035160866710439720e+00,4.020550623146685459e-02
4.042186474064346058e+00,3.818709912291010089e-02
4.049212081418253284e+00,3.657784522443138092e-02
4.056237688772159622e+00,6.843889491020234590e-03
4.063263296126066848e+00,-7.765720233580866716e-03
4.070288903479973186e+00,-1.586990689468733076e-02
4.077314510833880412e+00,-3.118925069161805272e-02
4.084340118187786750e+00,-4.650859448854877815e-02
4.091365725541693976e+00,-5.335078305256945458e-02
4.098391332895600314e+00,-4.289673138607548453e-02
4.105416940249507540e+00,-3.244267971958152835e-02
4.112442547603413878e+00,-2.198862805308756524e-02
4.119468154957321104e+00,3.509721924324418763e-02
4.126493762311227442e+00,4.714565969968707165e-02
4.133519369665134668e+00,6.677641948056114996e-02
4.140544977019041006e+00,7.465801558855476860e-02
