# B (T), \delta v/v
8.827400000000000801e+00,-4.873284191288433306e-03
8.844500000000000028e+00,-4.914956996111006018e-03
8.862000000000000099e+00,-4.956056979713156438e-03
8.878999999999999559e+00,-4.999985538548691079e-03
8.896100000000000563e+00,-5.037655995583954077e-03
8.913700000000000401e+00,-5.083593419547353422e-03
8.930699999999999861e+00,-5.123664917521700973e-03
8.947800000000000864e+00,-5.165987935457872979e-03
8.964900000000000091e+00,-5.207715060855287736e-03
8.981999999999999318e+00,-5.253420673350889768e-03
8.998900000000000787e+00,-5.297742238598384355e-03
9.016000000000000014e+00,-5.340957343980155467e-03
9.033099999999999241e+00,-5.385516056597610193e-03
9.050300000000000011e+00,-5.430569988052910864e-03
9.067299999999999471e+00,-5.476983776091795368e-03
9.084400000000000475e+00,-5.522697724375172715e-03
9.101399999999999935e+00,-5.567699590475662895e-03
9.118600000000000705e+00,-5.616043507802425359e-03
9.135699999999999932e+00,-5.663108496617177100e-03
9.152799999999999159e+00,-5.715310595737461453e-03
9.169800000000000395e+00,-5.761016766376475182e-03
9.186899999999999622e+00,-5.814444533328917697e-03
9.204000000000000625e+00,-5.864753614105533246e-03
9.221000000000000085e+00,-5.913786498377404319e-03
9.238099999999999312e+00,-5.967403930037453764e-03
9.255200000000000315e+00,-6.019747050698213628e-03
9.272299999999999542e+00,-6.074814372738589555e-03
9.289300000000000779e+00,-6.128137883093493811e-03
9.306300000000000239e+00,-6.183987766598048226e-03
9.323600000000000776e+00,-6.240952954083873669e-03
9.340700000000000003e+00,-6.296206330600935021e-03
9.357699999999999463e+00,-6.354187567042128386e-03
9.374800000000000466e+00,-6.414200326420204344e-03
9.391999999999999460e+00,-6.471341889154711910e-03
9.409100000000000463e+00,-6.528425353143072971e-03
9.426199999999999690e+00,-6.591179232440769718e-03
9.443599999999999994e+00,-6.650057906734573726e-03
9.460800000000000765e+00,-6.710090451907426562e-03
9.477800000000000225e+00,-6.770145192819771417e-03
9.494799999999999685e+00,-6.833532622430220881e-03
9.512000000000000455e+00,-6.889357988890762279e-03
9.529099999999999682e+00,-6.953262144819068180e-03
