# B (T), A_asym/A_sym
2.215528562048588057e+00,-1.390224907413743945e-02
2.222554169402494839e+00,-1.617170806866267962e-02
2.229579776756401621e+00,-1.712120885322353236e-02
2.236605384110308403e+00,-2.062712721220948120e-02
2.243630991464215185e+00,-2.333389700167114514e-02
2.250656598818121967e+00,-2.470804118248963455e-02
2.257682206172028749e+00,-1.577128326401112252e-02
2.264707813525935087e+00,-9.202161492069838369e-03
2.271733420879841869e+00,-1.131895669530944351e-02
2.278759028233748651e+00,-6.070832523619759495e-03
2.285784635587655433e+00,-6.235715828544708718e-03
2.292810242941562215e+00,-1.008394687231037139e-02
2.299835850295468997e+00,-1.376029336020773153e-02
2.306861457649375780e+00,-9.384818067754645277e-03
2.313887065003282562e+00,-7.584673384445715823e-03
2.320912672357189344e+00,-6.943912799277293657e-03
2.327938279711096126e+00,-5.636365978240440860e-03
2.334963887065002908e+00,-6.229961707334510414e-03
2.341989494418909690e+00,5.647402808970025884e-04
2.349015101772816472e+00,2.893673017565088416e-04
2.356040709126723254e+00,6.262479554943988815e-03
2.363066316480630036e+00,6.130561469492446305e-03
2.370091923834536818e+00,1.282823754005147331e-02
2.377117531188443600e+00,2.259864072793650938e-02
2.384143138542350382e+00,2.594156867981795012e-02
2.391168745896257164e+00,2.381943904121436653e-02
2.398194353250163946e+00,2.018917377297183707e-02
2.405219960604070728e+00,1.944674651290499365e-02
2.412245567957977510e+00,2.292954145051434231e-02
2.419271175311883848e+00,2.357706428876878146e-02
2.426296782665790630e+00,1.996959107404398803e-02
2.433322390019697412e+00,2.095878997476937483e-02
2.440347997373604194e+00,1.582082256245959453e-02
2.447373604727510976e+00,1.529110086962392166e-02
2.454399212081417758e+00,7.455424517006940290e-03
2.461424819435324540e+00,1.422303241146088797e-02
2.468450426789231322e+00,1.462328106547375502e-02
2.475476034143138104e+00,8.651937831892284395e-03
2.482501641497044886e+00,1.076861158503427453e-04
2.489527248850951668e+00,-3.015340033770594862e-03
