# B (T), A_asym/A(0)
7.067380454033167503e-01,-8.422345463248751343e-03
7.085783287715343715e-01,-8.357112629473598120e-03
7.104186121397519926e-01,-8.180569152143610592e-03
7.122588955079696138e-01,-7.933140112964559565e-03
7.140991788761874570e-01,-7.629476145660747839e-03
7.159394622444050782e-01,-7.303601205496670738e-03
7.177797456126226994e-01,-7.002312594408408898e-03
7.196200289808403205e-01,-6.738798381963009669e-03
7.214603123490581638e-01,-6.526933015328481059e-03
7.233005957172757849e-01,-6.369462092101534946e-03
7.251408790854934061e-01,-6.272376582499197828e-03
7.269811624537110273e-01,-6.260582131114453275e-03
7.288214458219288705e-01,-6.328295583359391449e-03
7.306617291901464917e-01,-6.447730419988771666e-03
7.325020125583641128e-01,-6.606598783541272647e-03
7.343422959265817340e-01,-6.820713070607732284e-03
7.361825792947995772e-01,-7.062758890918718717e-03
7.380228626630171984e-01,-7.301826613940673449e-03
7.398631460312348196e-01,-7.533508521008107708e-03
7.417034293994524408e-01,-7.743859169308621448e-03
7.435437127676702840e-01,-7.903999953448089671e-03
7.453839961358879052e-01,-7.986473818579812450e-03
7.472242795041055263e-01,-7.973416588914417763e-03
7.490645628723233695e-01,-7.872879044547514277e-03
7.509048462405409907e-01,-7.692729412193914998e-03
7.527451296087586119e-01,-7.432120057655268973e-03
7.545854129769762331e-01,-7.102140808834772438e-03
7.564256963451940763e-01,-6.714192449669023274e-03
7.582659797134116975e-01,-6.266818127551741259e-03
7.601062630816293186e-01,-5.728082517917851627e-03
7.619465464498469398e-01,-5.111092087619147420e-03
7.637868298180647830e-01,-4.439739857604062256e-03
7.656271131862824042e-01,-3.738003686097892634e-03
7.674673965545000254e-01,-3.016734220554252895e-03
7.693076799227176465e-01,-2.293471173782573019e-03
7.711479632909354898e-01,-1.601270688308233450e-03
7.729882466591531109e-01,-9.651399420207963870e-04
7.748285300273707321e-01,-3.913774136957730494e-04
7.766688133955883533e-01,1.180252162661793176e-04
7.785090967638061965e-01,5.629627754227782555e-04
7.803493801320238177e-01,9.358816502080208408e-04
7.821896635002414389e-01,1.227172446318441305e-03
7.840299468684590600e-01,1.424194236983962556e-03
7.858702302366769032e-01,1.493104548954776690e-03
7.877105136048945244e-01,1.429079569584696232e-03
7.895507969731121456e-01,1.245945249598516156e-03
7.913910803413297668e-01,9.804975437649212072e-04
7.932313637095476100e-01,6.484957365905196077e-04
7.950716470777652312e-01,2.579759225305572313e-04
7.969119304459828523e-01,-1.795121826508739432e-04
7.987522138142004735e-01,-6.434425682289088419e-04
8.005924971824183167e-01,-1.127710965814127326e-03
8.024327805506359379e-01,-1.625287899193165022e-03
8.042730639188535591e-01,-2.121138876822879337e-03
8.061133472870711802e-01,-2.574515538334627186e-03
8.079536306552890235e-01,-2.971267581320149228e-03
8.097939140235066446e-01,-3.299282289819665832e-03
8.116341973917242658e-01,-3.534471074617985369e-03
8.134744807599421090e-01,-3.654641844272640654e-03
8.153147641281597302e-01,-3.661020307169872944e-03
8.171550474963773514e-01,-3.577249399700718497e-03
8.189953308645949726e-01,-3.420443634291478723e-03
8.208356142328128158e-01,-3.201622150854565273e-03
8.226758976010304369e-01,-2.927759880032256967e-03
8.245161809692480581e-01,-2.611408580464478959e-03
8.263564643374656793e-01,-2.257452431655208175e-03
8.281967477056835225e-01,-1.883085775842792192e-03
8.300370310739011437e-01,-1.523861405679419580e-03
8.318773144421187649e-01,-1.227726953858302187e-03
8.337175978103363860e-01,-1.015587485821119315e-03
8.355578811785542293e-01,-9.002873035875871930e-04
8.373981645467718504e-01,-8.935549449751227459e-04
8.392384479149894716e-01,-1.003883305481945414e-03
8.410787312832070928e-01,-1.229216512025746227e-03
8.429190146514249360e-01,-1.568933313405532432e-03
8.447592980196425572e-01,-2.029318768089125296e-03
8.465995813878601783e-01,-2.593832549743126797e-03
8.484398647560777995e-01,-3.256870535018210108e-03
8.502801481242956427e-01,-4.013614436869442949e-03
8.521204314925132639e-01,-4.848102331754040872e-03
8.539607148607308851e-01,-5.726605743467320757e-03
8.558009982289485063e-01,-6.607367462804736649e-03
8.576412815971663495e-01,-7.457154349065422093e-03
8.594815649653839706e-01,-8.247184186391507549e-03
8.613218483336015918e-01,-8.962875569124149205e-03
8.631621317018192130e-01,-9.603372181715924202e-03
8.650024150700370562e-01,-1.016193098886649868e-02
8.668426984382546774e-01,-1.063121019331589485e-02
8.686829818064722986e-01,-1.097270620386055565e-02
8.705232651746899197e-01,-1.115749300036922298e-02
8.723635485429077630e-01,-1.118235745811041112e-02
8.742038319111253841e-01,-1.104533880727833969e-02
8.760441152793430053e-01,-1.077269794460957060e-02
8.778843986475608485e-01,-1.038187904995779669e-02
8.797246820157784697e-01,-9.899792357394672157e-03
8.815649653839960909e-01,-9.354307147874515657e-03
8.834052487522137120e-01,-8.756600610982540403e-03
8.852455321204315553e-01,-8.132699617933314071e-03
8.870858154886491764e-01,-7.504012150509008043e-03
8.889260988568667976e-01,-6.866757022089665409e-03
8.907663822250844188e-01,-6.241223257199056060e-03
8.926066655933022620e-01,-5.636935868630651818e-03
8.944469489615198832e-01,-5.098905531980250580e-03
8.962872323297375043e-01,-4.632474525441230596e-03
8.981275156979551255e-01,-4.272126791327885385e-03
8.999677990661729687e-01,-4.037767615932177055e-03
9.018080824343905899e-01,-3.898711225452766282e-03
9.036483658026082111e-01,-3.872055736307405786e-03
9.054886491708258323e-01,-3.973843936836485465e-03
9.073289325390436755e-01,-4.186694096857848484e-03
9.091692159072612966e-01,-4.515047172297290481e-03
9.110094992754789178e-01,-4.951282720057996294e-03
9.128497826436965390e-01,-5.492587650947622357e-03
9.146900660119143822e-01,-6.144549316324497863e-03
9.165303493801320034e-01,-6.903463056963035291e-03
9.183706327483496246e-01,-7.764023764635918923e-03
9.202109161165672457e-01,-8.695333232770099605e-03
9.220511994847850890e-01,-9.701391697486318882e-03
9.238914828530027101e-01,-1.071072403113241915e-02
9.257317662212203313e-01,-1.167025180903394528e-02
9.275720495894379525e-01,-1.258205239760780761e-02
9.294123329576557957e-01,-1.340269606585565119e-02
9.312526163258734169e-01,-1.409271608594860579e-02
9.330928996940910380e-01,-1.466065382640356976e-02
9.349331830623086592e-01,-1.509622905759083582e-02
9.367734664305265024e-01,-1.537972312856669688e-02
9.386137497987441236e-01,-1.548984002546489359e-02
9.404540331669617448e-01,-1.541585263456105200e-02
9.422943165351793660e-01,-1.514570194889095986e-02
9.441345999033972092e-01,-1.469457356772487129e-02
9.459748832716148303e-01,-1.408974923324564366e-02
9.478151666398324515e-01,-1.334949241392946115e-02
9.496554500080502947e-01,-1.254887020156697681e-02
9.514957333762679159e-01,-1.172264842462890540e-02
9.533360167444855371e-01,-1.086790849809070834e-02
9.551763001127031583e-01,-1.002077624447919243e-02
9.570165834809210015e-01,-9.212023381209379774e-03
9.588568668491386227e-01,-8.451431249009200980e-03
9.606971502173562438e-01,-7.753077136280864777e-03
9.625374335855738650e-01,-7.147148558948194889e-03
9.643777169537917082e-01,-6.647061382936767480e-03
9.662180003220093294e-01,-6.261375843580428181e-03
9.680582836902269506e-01,-5.994779373591989369e-03
9.698985670584445717e-01,-5.844170302834577821e-03
9.717388504266624150e-01,-5.819689274052253398e-03
9.735791337948800361e-01,-5.906722149696888233e-03
9.754194171630976573e-01,-6.067341817044257304e-03
9.772597005313152785e-01,-6.295178632524089761e-03
9.790999838995331217e-01,-6.587996569327412948e-03
9.809402672677507429e-01,-6.923455626969492183e-03
9.827805506359683640e-01,-7.278060232217283855e-03
9.846208340041859852e-01,-7.639343950206394299e-03
9.864611173724038284e-01,-8.013595002494516839e-03
9.883014007406214496e-01,-8.391111372856002726e-03
9.901416841088390708e-01,-8.753925913024223140e-03
9.919819674770566920e-01,-9.083430377667022632e-03
9.938222508452745352e-01,-9.377850509618141164e-03
9.956625342134921564e-01,-9.618090222084709276e-03
9.975028175817097775e-01,-9.766533804319573603e-03
9.993431009499273987e-01,-9.816284562583835194e-03
1.001183384318145242e+00,-9.785485940351874509e-03
1.003023667686362863e+00,-9.694702894442965360e-03
1.004863951054580484e+00,-9.558085187942480174e-03
1.006704234422798105e+00,-9.379840876836239433e-03
1.008544517791015949e+00,-9.170673898571016919e-03
1.010384801159233570e+00,-8.931935934778601968e-03
1.012225084527451191e+00,-8.655724766977233517e-03
1.014065367895669034e+00,-8.339412270248333300e-03
1.015905651263886655e+00,-8.020219655872582246e-03
1.017745934632104277e+00,-7.744565252693548507e-03
1.019586218000321898e+00,-7.520364951555237251e-03
1.021426501368539741e+00,-7.359589805258787316e-03
1.023266784736757362e+00,-7.279041502326367118e-03
1.025107068104974983e+00,-7.288743229804739779e-03
1.026947351473192604e+00,-7.371805176317637077e-03
1.028787634841410448e+00,-7.515642809765501510e-03
1.030627918209628069e+00,-7.711013879307385653e-03
1.032468201577845690e+00,-7.940873478526132984e-03
1.034308484946063311e+00,-8.194813236502083986e-03
1.036148768314281154e+00,-8.465704288758733181e-03
1.037989051682498776e+00,-8.752465249495673325e-03
1.039829335050716397e+00,-9.053292173623829833e-03
1.041669618418934018e+00,-9.337604165225776853e-03
1.043509901787151861e+00,-9.570284164040630120e-03
1.045350185155369482e+00,-9.740269714082681191e-03
1.047190468523587104e+00,-9.845049919483621001e-03
1.049030751891804725e+00,-9.888511570065245879e-03
1.050871035260022568e+00,-9.872365049020824859e-03
1.052711318628240189e+00,-9.815010980208980704e-03
1.054551601996457810e+00,-9.711056035329164102e-03
1.056391885364675431e+00,-9.551504474349712878e-03
1.058232168732893275e+00,-9.362680052854014529e-03
1.060072452101110896e+00,-9.171445623843522271e-03
1.061912735469328517e+00,-8.990258050780648019e-03
1.063753018837546138e+00,-8.802968496599759135e-03
1.065593302205763981e+00,-8.617422843215670480e-03
1.067433585573981603e+00,-8.442186537944070326e-03
1.069273868942199224e+00,-8.279317180561596504e-03
1.071114152310417067e+00,-8.137627163280820863e-03
1.072954435678634688e+00,-8.008256941108290311e-03
1.074794719046852309e+00,-7.882802980513508445e-03
1.076635002415069930e+00,-7.760794677622679869e-03
1.078475285783287774e+00,-7.630067156110874153e-03
1.080315569151505395e+00,-7.487717191515880048e-03
1.082155852519723016e+00,-7.363052392287177707e-03
1.083996135887940859e+00,-7.246112070056455294e-03
1.085836419256158480e+00,-7.096148779764029427e-03
1.087676702624376102e+00,-6.904565462323564509e-03
1.089516985992593723e+00,-6.689812237242289024e-03
1.091357269360811566e+00,-6.463619201058856505e-03
1.093197552729029187e+00,-6.254938263069042929e-03
1.095037836097246808e+00,-6.074866809533583344e-03
1.096878119465464430e+00,-5.909053746204880053e-03
