# T (K), alpha_33 (Neper/m)
3.649999999999999911e-01,4.832474982922121853e+00
3.652000000000000246e-01,4.602517422127675673e+00
3.654999999999999916e-01,4.474100208172785642e+00
3.660999999999999810e-01,4.336174196924275748e+00
3.664000000000000035e-01,4.255047528349905406e+00
3.667000000000000259e-01,4.056794188448293426e+00
3.669999999999999929e-01,4.042986392399370743e+00
3.673000000000000154e-01,4.247303086488727786e+00
3.678000000000000158e-01,4.234772904834017027e+00
3.680999999999999828e-01,4.210091324804579926e+00
3.684000000000000052e-01,4.420188572520601156e+00
3.687000000000000277e-01,4.408688721123326104e+00
3.693000000000000171e-01,4.331976942724622859e+00
3.695999999999999841e-01,4.373816359398915665e+00
3.699000000000000066e-01,4.298177016858971911e+00
3.704999999999999960e-01,4.517283876321471325e+00
3.706999999999999740e-01,5.037014596296558011e+00
3.709999999999999964e-01,5.035001309530116487e+00
3.713000000000000189e-01,5.181614672296745994e+00
3.715999999999999859e-01,5.494159353815120994e+00
3.721999999999999753e-01,5.288594275058358107e+00
3.724999999999999978e-01,5.166752775001441478e+00
3.728000000000000203e-01,5.114289171916652776e+00
3.734000000000000097e-01,5.023804689112239430e+00
3.736999999999999766e-01,5.127645271776373193e+00
3.739000000000000101e-01,4.989154184094786615e+00
3.741999999999999771e-01,5.182434407185837699e+00
3.748000000000000220e-01,5.193685773133438488e+00
3.750999999999999890e-01,5.265303528031381575e+00
3.754000000000000115e-01,5.382814455472043846e+00
3.756999999999999784e-01,5.368079430914576733e+00
3.763000000000000234e-01,5.837930881811416839e+00
3.765999999999999903e-01,5.818072332960582571e+00
3.769000000000000128e-01,5.968400564372586814e+00
3.771999999999999797e-01,5.730913991199031443e+00
3.778000000000000247e-01,5.775128643631205705e+00
3.780999999999999917e-01,5.763968133649086667e+00
3.784000000000000141e-01,5.911459211690498705e+00
3.790000000000000036e-01,5.716354371003944834e+00
3.793000000000000260e-01,5.860843111595158916e+00
3.795999999999999930e-01,5.619691045011450115e+00
3.799000000000000155e-01,5.587734112718180768e+00
3.801999999999999824e-01,5.454476591173715860e+00
3.808000000000000274e-01,5.335278013746346915e+00
3.810999999999999943e-01,5.132751995862690819e+00
3.814000000000000168e-01,5.070191299041880484e+00
3.816999999999999837e-01,5.323337512013722517e+00
3.820000000000000062e-01,5.230748154420552964e+00
3.826999999999999846e-01,5.177472777629418488e+00
3.830000000000000071e-01,5.266147051874668250e+00
3.832999999999999741e-01,5.505388881058479456e+00
3.835999999999999965e-01,5.474795020061719697e+00
3.841999999999999860e-01,5.534635638144891345e+00
3.845000000000000084e-01,5.491429548614860323e+00
3.847999999999999754e-01,5.448913135358225190e+00
3.850999999999999979e-01,5.756465150576104861e+00
3.856999999999999873e-01,5.246067137869204089e+00
3.860000000000000098e-01,5.336966737459533761e+00
3.862999999999999767e-01,5.432010459217281095e+00
3.865999999999999992e-01,5.404919988854999247e+00
3.871999999999999886e-01,5.077795446721893313e+00
3.875000000000000111e-01,5.102813846089020444e+00
3.877999999999999781e-01,5.376232176145776975e+00
3.881000000000000005e-01,5.447408516902669362e+00
3.887999999999999790e-01,5.397137288523026655e+00
3.891000000000000014e-01,5.682852221431403450e+00
3.894000000000000239e-01,5.773009712740076793e+00
3.896999999999999909e-01,5.908395863703617579e+00
3.902999999999999803e-01,6.046752881344445996e+00
3.906000000000000028e-01,6.182181104107030478e+00
3.909000000000000252e-01,6.350584417099298662e+00
3.912999999999999812e-01,6.135548020319220086e+00
3.919000000000000261e-01,6.580250367286680557e+00
3.921999999999999931e-01,6.635697053398189382e+00
3.925000000000000155e-01,6.577537382451964731e+00
3.927999999999999825e-01,6.469607150146885033e+00
3.934000000000000274e-01,6.566606561115122531e+00
3.936999999999999944e-01,6.545862141537554635e+00
3.940000000000000169e-01,6.780054895619059607e+00
3.942999999999999838e-01,6.880044464056481957e+00
3.950000000000000178e-01,7.086259661123222031e+00
3.952999999999999847e-01,7.405873192620674672e+00
3.956000000000000072e-01,7.320289116094045312e+00
3.962999999999999856e-01,7.363634889602735711e+00
3.966000000000000081e-01,7.554960819684993112e+00
3.968999999999999750e-01,7.954029596012105685e+00
3.971999999999999975e-01,8.087665600601667393e+00
3.977999999999999869e-01,7.704640074593044119e+00
3.981000000000000094e-01,8.007973377869575415e+00
3.983999999999999764e-01,8.266569839396652242e+00
3.986999999999999988e-01,8.373142866340685941e+00
3.990000000000000213e-01,8.335034691944883889e+00
3.996000000000000107e-01,8.344366771753129797e+00
4.000000000000000222e-01,8.566192551615813500e+00
4.002999999999999892e-01,8.799027385261979362e+00
4.006000000000000116e-01,9.037999353154646087e+00
4.012000000000000011e-01,9.080487157271363685e+00
4.015000000000000235e-01,8.917190093712179078e+00
4.017999999999999905e-01,9.037669014881430485e+00
4.021000000000000130e-01,8.988599679700200795e+00
4.027999999999999914e-01,8.934393202263890998e+00
4.031000000000000139e-01,9.047703831174430888e+00
4.033999999999999808e-01,9.137155904157225450e+00
4.037000000000000033e-01,9.102419955164350540e+00
4.043999999999999817e-01,9.058888453591634971e+00
4.047000000000000042e-01,8.887533968502793869e+00
4.050000000000000266e-01,8.756702533780753583e+00
4.052999999999999936e-01,8.766781658266836530e+00
4.058999999999999830e-01,8.688447206907085274e+00
4.062000000000000055e-01,8.635774109211979521e+00
4.066000000000000170e-01,8.300121786843192240e+00
4.068999999999999839e-01,8.407221527390220217e+00
4.074999999999999734e-01,8.452994351878032830e+00
4.077999999999999958e-01,8.427899912318252973e+00
4.081000000000000183e-01,7.873087338085497322e+00
4.087999999999999967e-01,7.708101239965344575e+00
4.091000000000000192e-01,7.457973083511205914e+00
4.093999999999999861e-01,7.407012761633041009e+00
4.097000000000000086e-01,7.104652771700330049e+00
4.103999999999999870e-01,6.691765118243210964e+00
4.107000000000000095e-01,6.413831862148072105e+00
4.109999999999999765e-01,6.424566214631340699e+00
4.119999999999999774e-01,6.505022635685463683e+00
4.122999999999999998e-01,6.437836694616862587e+00
4.126000000000000223e-01,6.411782275002678944e+00
4.129999999999999782e-01,6.442846114390704315e+00
4.136000000000000232e-01,6.269365961139328647e+00
4.138999999999999901e-01,6.486404090022688251e+00
4.143000000000000016e-01,6.986248153044925857e+00
4.146000000000000241e-01,7.491287602244028676e+00
